jobid, gpu type, walltime (s)
f4876c4e6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
f4beb3ca6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
f4f8bdfe6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
f528f1c26d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
f559ae206d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
f58cf21c6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
f5c11c686d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
f5f47a686d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
f62e1bba6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
f66b11506d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
f69faa5a6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
f6d767386d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
f70586a46d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
f73c18c26d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
f770c3ba6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1584
f7abb9486d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
f7dbaf406d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
f80d1f1c6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
f841cb726d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1548
f879167c6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
f8b81a346d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
f8fd92c66d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
f9371dc06d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
f972cc626d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
f9b9b9a66d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
f9eb58806d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
fa2a71326d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
fa6ac9b26d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
fa9b93806d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1188
fad39b7c6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
fb11cd346d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1548
fb4824ce6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
fb82a09a6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
fbba446e6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
fbeaddd66d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1548
fc253bde6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
fc5a3fe66d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
fc89d38c6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
fcc9dc206d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
fd06e9e46d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
fd3bd7f86d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
fd6dec2a6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
fda0640c6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1548
fdd206ba6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
fe06a9926d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
fe3da2766d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
fe72bc7c6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
fea3f0806d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
fee253206d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
ff17d7a26d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
ff4a10326d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1584
ff7fb30e6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
ffb2db9e6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
ffe692cc6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
001a9a406d8211eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
005288426d8211ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
008674726d8211ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
00bdb4c86d8211ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
00ee22846d8211ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
01241b3c6d8211ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
015a9a0e6d8211ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
018daba66d8211ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
01cddf1e6d8211ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
020bec326d8211ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
024725546d8211ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1188
028453666d8211ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
02c1cc786d8211ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
02f890f06d8211ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
032c0afc6d8211ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
0366c78c6d8211eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
03a9046c6d8211ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
03dd952e6d8211ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
0416ab166d8211ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
0449a78c6d8211eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
04834d7a6d8211eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1548
04c3c8146d8211eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
04fc227c6d8211ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1188
0535fef26d8211ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
056c62c66d8211eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
059e0bfa6d8211ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
05ce45046d8211eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
060860906d8211ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
