Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State       PID/Program name    
tcp        0      0 172.31.16.161:9618      172.31.12.32:35844      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.12.136:35650     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.8.33:43449       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.14.183:45257     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.11.153:41910     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.78.37:37535      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.79.239:35617     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.75.44:38797      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.7.248:37280      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.12.136:33217     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.70.32:45831      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.10.76:36734      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.76.94:37179      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.11.35:41582      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.71.21:33981      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.3.187:34374      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.76.158:45813     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.70.99:43245      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.64.162:46344     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.68.11:39646      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.12.26:46087      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.1.194:32999      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.8.114:44905      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.14.164:42774     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.64.199:44412     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.6.152:36163      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.11.35:39474      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.16.161:6787      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.74.167:37470     ESTABLISHED 2481/condor_collect 
