jobid, request_cpu, used_cpu, gpu type, gpu id, gpu memory, host, walltime (s), completion date
542eca266d8111eca4d7141877284d92, 2, 1.24, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/12/0, , slot1_1@glidein_300_200527570@osg-wn-61f12860-000019-mn7ts, 1548, 2022-02-09T23:56:58.578476
54666b0c6d8111ec934d141877284d92, 2, 1.26, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/8/0, , slot1_1@glidein_291_796386779@osg-wn-61f12860-00001e-cbw4w, 1476, 2022-02-09T23:56:58.558493
549981046d8111ec9af0141877284d92, 2, 1.27, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, , slot1_1@glidein_302_426155550@osg-wn-61f12860-000024-mgdzm, 1512, 2022-02-10T00:02:42.534157
54d7e6ba6d8111ec934d141877284d92, 2, 1.29, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/10/0, , slot1_1@glidein_297_60331269@osg-wn-61f12860-00001b-bspvg, 1332, 2022-02-09T23:59:49.501919
55107f166d8111ec9af0141877284d92, 2, 1.25, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, , slot1_1@glidein_298_153724880@osg-wn-61f12860-000025-bp8sn, 1188, 2022-02-10T00:08:20.190891
5544fef86d8111ec9af0141877284d92, 2, 1.28, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/7/0, , slot1_1@glidein_290_308993523@osg-wn-61f12860-000026-5h6db, 1296, 2022-02-10T00:11:12.681832
55795b446d8111ec9af0141877284d92, 2, 1.25, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/7/0, , slot1_1@glidein_290_308993523@osg-wn-61f12860-000026-5h6db, 1548, 2022-02-10T01:27:04.267603
55afa6fe6d8111ec9af0141877284d92, 2, 1.27, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, , slot1_1@glidein_294_77884401@osg-wn-61f12860-000027-6959f, 1404, 2022-02-10T00:19:39.567516
55e757486d8111ec9af0141877284d92, 2, 1.26, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/9/0, , slot1_1@glidein_295_38815520@osg-wn-61f12860-00001d-69gxf, 1260, 2022-02-10T00:16:51.067521
562a7f3c6d8111ec9af0141877284d92, 2, 1.28, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/8/0, , slot1_1@glidein_291_796386779@osg-wn-61f12860-00001e-cbw4w, 1332, 2022-02-10T00:19:39.529833
565d65a06d8111eca4d7141877284d92, 2, 1.23, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/12/0, , slot1_1@glidein_300_18829080@osg-wn-61f12860-000019-wmtkk, 1548, 2022-02-10T02:21:00.458510
5697a3646d8111ec9af0141877284d92, 2, 1.28, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, , slot1_1@glidein_294_77884401@osg-wn-61f12860-000027-6959f, 1368, 2022-02-10T01:27:04.236998
56c8aa0e6d8111ec9af0141877284d92, 2, 1.25, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/10/0, , slot1_1@glidein_297_428833401@osg-wn-61f12860-00001b-fv2pg, 1188, 2022-02-10T01:27:04.204147
5700817c6d8111ec9af0141877284d92, 2, 1.29, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, , slot1_1@glidein_302_426155550@osg-wn-61f12860-000024-mgdzm, 1368, 2022-02-10T00:25:14.567288
5735dfca6d8111eca4d7141877284d92, 2, 1.27, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, , slot1_1@glidein_298_153724880@osg-wn-61f12860-000025-bp8sn, 1548, 2022-02-10T00:33:40.185490
