#GPU, mean, median
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7488
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7272
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7235
A100-SXM4-40GB pa100t4, 15300
A100-SXM4-40GB pa100t4, 15300
A100-SXM4-40GB pa100t4, 15444
A100-SXM4-40GB pa100t4, 15408
A100-SXM4-40GB pa100t4, 15371
A100-SXM4-40GB pa100t4, 15371
A100-SXM4-40GB pa100t7, 26748
A100-SXM4-40GB pa100t7, 26640
A100-SXM4-40GB pa100t7, 26640
A100-SXM4-40GB pa100t7, 26640
A100-SXM4-40GB pa100t7, 26748
A100-SXM4-40GB pa100t7, 26676
A100-SXM4-40GB pa100t7, 26712
A100-SXM4-40GB pa100t7, 27000
A100-SXM4-40GB pa100t7, 26676
A100-SXM4-40GB pa100t7, 26820
A100-SXM4-40GB pa100t7, 27036
A100-SXM4-40GB pa100t7, 26820
A100-SXM4-40GB pa100t7, 27072
A100-SXM4-40GB pa100t7, 26712
NVIDIA A100-PCIE-40GB prp, 4320
NVIDIA A100-PCIE-40GB prp, 4248
NVIDIA A100-PCIE-40GB prp, 4500
NVIDIA A100-PCIE-40GB prp, 4212
NVIDIA A100-PCIE-40GB prp, 4536
NVIDIA A100-PCIE-40GB prp, 4536
NVIDIA A100-PCIE-40GB prp, 4536
NVIDIA A100-PCIE-40GB prp, 4500
NVIDIA A100-PCIE-40GB prp, 4572
NVIDIA A100-PCIE-40GB prp, 4500
NVIDIA A100-PCIE-40GB prp, 4284
NVIDIA A100-PCIE-40GB prp, 4500
NVIDIA A100-PCIE-40GB prp, 4536
NVIDIA A100-PCIE-40GB prp, 4500
NVIDIA A100-PCIE-40GB prp, 4608
NVIDIA A100-PCIE-40GB prp, 4500
NVIDIA A100-PCIE-40GB prp, 4536
NVIDIA A100-PCIE-40GB prp, 4572
NVIDIA A100-PCIE-40GB prp, 4428
NVIDIA A100-PCIE-40GB prp, 4572
NVIDIA A100-PCIE-40GB prp, 4284
NVIDIA A100-PCIE-40GB prp, 4320
NVIDIA A100-PCIE-40GB prp, 4536
NVIDIA A100-PCIE-40GB prp, 4500
NVIDIA A100-PCIE-40GB prp, 4536
NVIDIA A100-PCIE-40GB prp, 4320
NVIDIA A100-PCIE-40GB prp, 4500
NVIDIA A100-PCIE-40GB prp, 4536
NVIDIA A100-PCIE-40GB prp, 4428
NVIDIA A100-PCIE-40GB prp, 4284
NVIDIA A100-PCIE-40GB prp, 4284
NVIDIA A100-PCIE-40GB prp, 4536
NVIDIA A100-PCIE-40GB prp, 4500
NVIDIA A40 prp, 4176
NVIDIA A40 prp, 3888
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 3888
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 4032
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 4067
NVIDIA A40 prp, 4104
NVIDIA A40 prp, 4067
NVIDIA A40 prp, 4104
NVIDIA A40 prp, 4067
NVIDIA A40 prp, 4067
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 4032
NVIDIA A40 prp, 4067
NVIDIA A40 prp, 4067
NVIDIA A40 prp, 4067
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3924
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 5220
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 4032
NVIDIA A40 prp, 4032
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 4860
NVIDIA A40 prp, 3888
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 3924
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3924
NVIDIA A40 prp, 3924
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 5184
NVIDIA A40 prp, 5292
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 3888
NVIDIA A40 prp, 3924
NVIDIA A40 prp, 3924
NVIDIA A40 prp, 4824
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 5148
NVIDIA A40 prp, 3924
NVIDIA A40 prp, 3924
NVIDIA A40 prp, 4032
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3924
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 3996
NVIDIA A40 prp, 3924
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3960
NVIDIA A40 prp, 3924
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8856
NVIDIA GeForce GTX 1080 Ti prp, 8856
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8676
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8964
NVIDIA GeForce GTX 1080 Ti prp, 8748
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8640
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8712
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8856
NVIDIA GeForce GTX 1080 Ti prp, 8856
NVIDIA GeForce GTX 1080 Ti prp, 8604
NVIDIA GeForce GTX 1080 Ti prp, 8856
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8712
NVIDIA GeForce GTX 1080 Ti prp, 8784
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8676
NVIDIA GeForce GTX 1080 Ti prp, 8748
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8856
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8856
NVIDIA GeForce GTX 1080 Ti prp, 8568
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 9000
NVIDIA GeForce GTX 1080 Ti prp, 8784
NVIDIA GeForce GTX 1080 Ti prp, 8784
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8748
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8856
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 9000
NVIDIA GeForce GTX 1080 Ti prp, 8604
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8748
NVIDIA GeForce GTX 1080 Ti prp, 8964
NVIDIA GeForce GTX 1080 Ti prp, 8748
NVIDIA GeForce GTX 1080 Ti prp, 8964
NVIDIA GeForce GTX 1080 Ti prp, 8784
NVIDIA GeForce GTX 1080 Ti prp, 8676
NVIDIA GeForce GTX 1080 Ti prp, 8784
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8856
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8712
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8748
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8964
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8712
NVIDIA GeForce GTX 1080 Ti prp, 8640
NVIDIA GeForce GTX 1080 Ti prp, 8748
NVIDIA GeForce GTX 1080 Ti prp, 8568
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8784
NVIDIA GeForce GTX 1080 Ti prp, 8964
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8748
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8964
NVIDIA GeForce GTX 1080 Ti prp, 8856
NVIDIA GeForce GTX 1080 Ti prp, 8856
NVIDIA GeForce GTX 1080 Ti prp, 8748
NVIDIA GeForce GTX 1080 Ti prp, 8784
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8892
